num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,runtime
2,2,0,high_multiplicity_fair_allocation,0,0.0,0,0.010130800000000661
2,2,0,high_multiplicity_fair_allocation,1,192.5,185.0,0.02489410000000092
2,2,0,high_multiplicity_fair_allocation,2,164.16666666666669,161.66666666666666,0.0380944999999997
2,2,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.011498700000000639
2,2,0.5,high_multiplicity_fair_allocation,1,205.0,200.0,0.03631720000000094
2,2,0.5,high_multiplicity_fair_allocation,2,167.5,161.66666666666666,0.053151300000001456
2,2,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.03123599999999982
2,2,1.5,high_multiplicity_fair_allocation,1,224.16666666666669,223.33333333333334,0.04933989999999966
2,2,1.5,high_multiplicity_fair_allocation,2,171.66666666666666,161.66666666666666,0.04670889999999872
2,3,0,high_multiplicity_fair_allocation,0,0.0,0,0.027219800000001015
2,3,0,high_multiplicity_fair_allocation,1,170.0,166.66666666666669,0.05798640000000077
2,3,0,high_multiplicity_fair_allocation,2,152.5,150.0,0.055434200000000544
2,3,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.02767099999999978
2,3,0.5,high_multiplicity_fair_allocation,1,181.58192090395482,173.33333333333334,0.034563200000000904
2,3,0.5,high_multiplicity_fair_allocation,2,162.5,160.0,0.04920970000000047
2,3,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.013287800000000516
2,3,1.5,high_multiplicity_fair_allocation,1,190.0,186.66666666666666,0.05233359999999898
2,3,1.5,high_multiplicity_fair_allocation,2,175.0,150.0,0.050793099999999924
2,5,0,high_multiplicity_fair_allocation,0,0.0,0,0.028439100000001716
2,5,0,high_multiplicity_fair_allocation,1,0.0,0,0.019612800000000874
2,5,0,high_multiplicity_fair_allocation,2,0.0,0,0.015226999999999435
2,5,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.0253937999999998
2,5,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.01786119999999869
2,5,0.5,high_multiplicity_fair_allocation,2,0.0,0,0.030902100000000488
2,5,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.03691109999999931
2,5,1.5,high_multiplicity_fair_allocation,1,0.0,0,0.048218499999999054
2,5,1.5,high_multiplicity_fair_allocation,2,0.0,0,0.03893850000000043
2,6,0,high_multiplicity_fair_allocation,0,0.0,0,0.038943800000000195
2,6,0,high_multiplicity_fair_allocation,1,0.0,0,0.018564500000000095
2,6,0,high_multiplicity_fair_allocation,2,0.0,0,0.016509899999999078
2,6,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.019370999999999583
2,6,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.06498760000000026
2,6,0.5,high_multiplicity_fair_allocation,2,0.0,0,0.014046799999999138
2,6,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.01772740000000006
2,6,1.5,high_multiplicity_fair_allocation,1,0.0,0,0.03782380000000174
2,6,1.5,high_multiplicity_fair_allocation,2,0.0,0,0.03017449999999755
3,2,0,high_multiplicity_fair_allocation,0,133.88888888888889,125.0,0.046145799999997905
3,2,0,high_multiplicity_fair_allocation,1,0.0,0,0.016046599999999245
3,2,0,high_multiplicity_fair_allocation,2,0.0,0,0.017181700000001854
3,2,0.5,high_multiplicity_fair_allocation,0,148.33333333333334,136.66666666666666,0.028714399999998363
3,2,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.01598380000000077
3,2,0.5,high_multiplicity_fair_allocation,2,0.0,0,0.016428200000000004
3,2,1.5,high_multiplicity_fair_allocation,0,188.33333333333334,143.33333333333334,0.029759600000001996
3,2,1.5,high_multiplicity_fair_allocation,1,0.0,0,0.017193900000002316
3,2,1.5,high_multiplicity_fair_allocation,2,0.0,0,0.019003900000001295
3,3,0,high_multiplicity_fair_allocation,0,0.0,0,0.0187981999999991
3,3,0,high_multiplicity_fair_allocation,1,0.0,0,0.021858700000002784
3,3,0,high_multiplicity_fair_allocation,2,0.0,0,0.09263860000000079
3,3,0.5,high_multiplicity_fair_allocation,0,0.0,0,0.03052070000000029
3,3,0.5,high_multiplicity_fair_allocation,1,127.92843691148774,126.66666666666666,0.1525344000000004
3,3,0.5,high_multiplicity_fair_allocation,2,129.44444444444443,126.66666666666666,0.03572229999999976
3,3,1.5,high_multiplicity_fair_allocation,0,0.0,0,0.01920610000000167
3,3,1.5,high_multiplicity_fair_allocation,1,133.33333333333334,123.33333333333334,0.0742637999999971
3,3,1.5,high_multiplicity_fair_allocation,2,192.0582877959927,129.5081967213115,0.05596609999999913
3,5,0,high_multiplicity_fair_allocation,0,0.0,0,0.021046099999999512
